"REGISTRATION","VALID_SINCE","VALID_UNTIL","AC_OPERATOR","AC_OWNER","AC_SUBTYPE","AC_LOGICAL_NO","AC_STATE","DRY_OPERATING_WGT","MAX_TAKEOFF_WGT","CARGO_CAPACITY","FUEL_CAPACITY","AVG_FUEL_CONSUMP","AC_INDEX","CREWSIZE_COCKPIT","CREWSIZE_CABIN","STD_VERSION","AP_RESTRICTION","AC_OWNER_NAME","AC_SUBTYPE_NAME","AC_CATEGORY","REMARK","FUEL_MEASURE_UNIT","AC_CALLSIGN","RADIO","NOISE","PHONE","SPECIAL_EQUIPMENT","ACARS","ALT_REG","RECORD_ID","LAST_UPDATE","LAST_UPDATE_USER_ID","STD_VERSION_ALT_1","STD_VERSION_ALT_2","STD_VERSION_ALT_3","STD_VERSION_ALT_4","ILS_EQUIPMENT","AUTOLAND","HOMEBASE"
"BLDE",01-JAN-14,30-SEP-25,"LD ","LD","ABY",5,"R",80308,170500,0,0,0,260,0,0,"VVSTN","N","AIR HK                        ","ABY                           ","J","-                                                                               ","kg ","","",,"","","S","",27375,26-JUN-25,"iocltm","","","","","I","Y",""
"BLDF",01-JAN-14,06-SEP-24,"LD ","LD","ABY",2,"R",80308,170500,0,0,0,260,0,0,"VVSTN","N","AIR HK                        ","ABY                           ","J","-                                                                               ","kg ","","",,"","","S","",27376,09-SEP-24,"iocltm","","","","","I","Y",""
"BLDG",01-JAN-14,31-MAY-26,"LD ","LD","ABY",3,"R",80308,170500,0,0,0,260,0,0,"VVSTN","N","AIR HK                        ","ABY                           ","J","-                                                                               ","kg ","","",,"","","S","",27377,26-JUN-25,"iocltm","","","","","I","Y",""
"BLDH",01-JAN-14,31-MAR-26,"LD ","LD","ABY",4,"R",80308,170500,0,0,0,260,0,0,"VVSTN","N","AIR HK                        ","ABY                           ","J","-                                                                               ","kg ","","",,"","","S","",27378,26-JUN-25,"iocltm","","","","","I","Y",""
"BLDM",01-JAN-14,31-OCT-19,"LD ","LD","ABY",9,"R",80308,170500,0,0,0,260,0,0,"VVSTN","N","AIR HK                        ","ABY                           ","J","NO ACARS INSTALLED                                                              ","kg ","","",,"","","S","",27379,02-MAR-22,"netline","","","","","I","Y",""
"BLDN",01-JAN-14,24-FEB-23,"LD ","LD","ABY",10,"R",80308,170500,0,0,0,260,0,0,"VVSTN","N","AIR HK                        ","ABY                           ","J","NO ACARS INSTALLED                                                              ","kg ","","",,"","","S","",27380,27-FEB-23,"iocrml","","","","","I","Y",""
"BLIA",01-JAN-14,31-DEC-35,"CX ","CX","7RF",1,"R",0,412769,0,0,0,220,0,0,"STN","N","CATHAY PACIFIC                ","7RF                           ","J","NEW LIVERY 
                                                                    ","kg ","","",,"","","S","",27381,11-APR-24,"iocrml","","","","","I","Y",""
"BLIB",01-JAN-14,31-DEC-35,"CX ","CX","7RF",4,"R",0,412769,0,0,0,220,0,0,"STN","N","CATHAY PACIFIC                ","7RF                           ","J","-                                                                               ","kg ","","",,"","","S","",27382,11-APR-24,"iocrml","","","","","I","Y",""
"BLIC",01-JAN-14,31-DEC-35,"CX ","CX","7RF",3,"R",160154,412769,0,0,0,220,0,0,"STN","N","CATHAY PACIFIC                ","7RF                           ","J","-                                                                               ","kg ","","",,"","","S","",27383,11-APR-24,"iocrml","","","","","I","Y",""
"BLID",01-JAN-14,31-DEC-35,"CX ","CX","7RF",5,"R",160275,412769,0,0,0,220,0,0,"STN","N","CATHAY PACIFIC                ","7RF                           ","J","-                                                                               ","kg ","","",,"","","S","",27384,11-APR-24,"iocrml","","","","","I","Y",""
"BLIE",01-JAN-14,31-DEC-35,"CX ","CX","7RF",2,"R",160202,412769,0,0,0,220,0,0,"STN","N","CATHAY PACIFIC                ","7RF                           ","J","-                                                                               ","kg ","","",,"","","S","",27385,11-APR-24,"iocrml","","","","","I","Y",""
"BLIF",01-JAN-14,31-DEC-35,"CX ","CX","7RF",6,"R",0,412770,0,0,0,220,0,0,"STN","N","CATHAY PACIFIC                ","7RF                           ","J","-                                                                               ","kg ","","",,"","","S","",27386,11-APR-24,"iocrml","","","","","I","Y",""
"BLJA",01-JAN-14,31-DEC-35,"CX ","CX","74N",10,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","HONG KONG TRADER LIVERY / TRAINING BAN UFN                                      ","kg ","","",,"","","S","",27387,02-MAR-22,"netline","","","","","I","Y",""
"BLJB",01-JAN-14,31-DEC-35,"CX ","CX","74N",9,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27388,02-MAR-22,"netline","","","","","I","Y",""
"BLJC",01-JAN-14,31-DEC-35,"CX ","CX","74N",8,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27389,02-MAR-22,"netline","","","","","I","Y",""
"BLJD",01-JAN-14,31-DEC-35,"CX ","CX","74N",7,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27390,02-MAR-22,"netline","","","","","I","Y",""
"BLJE",01-JAN-14,31-DEC-35,"CX ","CX","74N",6,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27391,02-MAR-22,"netline","","","","","I","Y",""
"BLJF",01-JAN-14,31-DEC-35,"CX ","CX","74N",5,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27392,02-MAR-22,"netline","","","","","I","Y",""
"BLJG",01-JAN-14,31-DEC-35,"CX ","CX","74N",4,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27393,02-MAR-22,"netline","","","","","I","Y",""
"BLJH",01-JAN-14,31-DEC-35,"CX ","CX","74N",13,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27394,02-MAR-22,"netline","","","","","I","Y",""
"BLJI",01-JAN-14,31-DEC-35,"CX ","CX","74N",2,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27395,02-MAR-22,"netline","","","","","I","Y",""
"BLJJ",01-JAN-14,31-DEC-35,"CX ","CX","74N",3,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27396,02-MAR-22,"netline","","","","","I","Y",""
"BLJK",01-JAN-14,31-DEC-35,"CX ","CX","74N",1,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27397,02-MAR-22,"netline","","","","","I","Y",""
"BLJL",01-JAN-14,31-DEC-35,"CX ","CX","74N",12,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27398,02-MAR-22,"netline","","","","","I","Y",""
"BLJM",01-JAN-14,31-DEC-35,"CX ","CX","74N",11,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27399,02-MAR-22,"netline","","","","","I","Y",""
"BLJN",01-JAN-14,31-DEC-35,"CX ","CX","74N",14,"R",0,447695,0,0,0,210,0,0,"STN","N","CATHAY PACIFIC                ","74N                           ","J","TRAINING BAN UFN                                                                ","kg ","","",,"","","S","",27400,02-MAR-22,"netline","","","","","I","Y",""
"EIEXR",01-JAN-14,01-JAN-23,"LD ","LD","ABF",3,"R",41928,88360,0,0,0,280,0,0,"VVSTN","N","ACL                           ","ABF                           ","J","-                                                                               ","kg ","","",,"","","S","",27401,27-MAY-24,"iocltm","","","","","I","Y",""
"EIOZJ",01-JAN-14,15-APR-15,"LD ","LD","ABF",1,"R",41928,88360,0,0,0,280,0,0,"VVSTN","N","ACL                           ","ABF                           ","J","-                                                                               ","kg ","","",,"","","S","",27402,02-MAR-22,"netline","","","","","I","Y",""
"BLDA",01-JAN-14,30-SEP-25,"LD ","LD","ABY",7,"R",80308,170500,0,0,0,260,0,0,"VVSTN","N","AIR HK                        ","ABY                           ","J","-                                                                               ","kg ","","",,"","","S","",46928,26-JUN-25,"iocltm","","","","","I","Y",""
"CX34B",01-JAN-14,31-DEC-14,"CX ","CX","34B",0,"O",0,0,0,0,0,30,0,0,"STN","N","CX                            ","34B                           ","J","-                                                                               ","kg ","","",,"","","","",47465,02-MAR-22,"netline","","","","","I","Y",""
"CX33E",01-MAR-15,31-DEC-18,"CX ","CX","33E",0,"O",0,0,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","-                                                                               ","kg ","","",,"","","","",85274,02-MAR-22,"netline","","","","","I","Y",""
"CX33K",26-OCT-14,31-DEC-14,"CX ","CX","33K",0,"O",0,0,0,0,0,70,0,0,"STN","N","CX                            ","33K                           ","J","-                                                                               ","kg ","","",,"","","","",47464,02-MAR-22,"netline","","","","","I","Y",""
"CX74Y",01-JAN-14,01-JUL-22,"CX ","CX","74Y",0,"O",0,0,0,0,0,200,0,0,"STN","N","CX                            ","74Y                           ","J","-                                                                               ","kg ","","",,"","","","",47466,25-OCT-24,"iocltm","","","","","I","Y",""
"KA33C",01-JAN-14,31-DEC-15,"KA ","KA","33C",0,"O",0,0,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","-                                                                               ","kg ","","",,"","","","",47467,02-MAR-22,"netline","","","","","I","Y",""
"BLAH",30-NOV-14,31-DEC-14,"CX ","CX","33K",6,"R",124887,233000,0,0,0,70,0,0,"STN","N","CATHAY PACIFIC                ","33K                           ","J","39J/21W/191Y = 251  / TRNG FLT RESTRICTION DUE ADDITIONAL RENT FOR EXCESS CYCLES","kg ","","",,"","","S","",57521,02-MAR-22,"netline","","","","","I","Y",""
"BLAG",05-DEC-14,31-DEC-14,"CX ","CX","33K",12,"R",124887,233000,0,0,0,70,0,0,"STN","N","CATHAY PACIFIC                ","33K                           ","J","39J/21W/191Y = 251  / TRNG FLT RESTRICTION DUE ADDITIONAL RENT FOR EXCESS CYCLES","kg ","","",,"","","S","",57871,02-MAR-22,"netline","","","","","I","Y",""
"BLBA",20-MAR-15,31-DEC-18,"CX ","CX","33E",1,"R",0,233000,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","39J/223Y = 262                                                                  ","kg ","","S",,"","","S","",85281,02-MAR-22,"netline","","","","","I","Y",""
"BHLR",15-MAY-15,31-DEC-18,"CX ","CX","33E",3,"R",0,233000,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","39J/223Y = 262                                                                  ","kg ","","S",,"","","S","",99067,02-MAR-22,"netline","","","","","I","Y",""
"BKQV",01-FEB-15,31-DEC-15,"CX ","CX","77H",32,"R",153362,351534,0,0,0,90,0,0,"STN","N","CATHAY PACIFIC                ","77H                           ","J","6F/53J/34W/182Y = 275                                                           ","kg ","","",,"","","S","",74916,02-MAR-22,"netline","","","","","I","Y",""
"BLBI",01-FEB-15,26-JAN-16,"CX ","CX","330",15,"R",123178,233000,0,0,0,50,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","42J/265Y = 307                                                                  ","kg ","","",,"","","S","",74917,02-MAR-22,"netline","","","","","I","Y",""
"BKQW",17-MAR-15,31-DEC-15,"CX ","CX","77H",33,"R",153362,351534,0,0,0,90,0,0,"STN","N","CATHAY PACIFIC                ","77H                           ","J","6F/53J/34W/182Y = 275                                                           ","kg ","","",,"","","S","",87050,02-MAR-22,"netline","","","","","I","Y",""
"BLBB",01-MAY-15,31-DEC-18,"CX ","CX","33E",2,"R",0,233000,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","39J/223Y = 262                                                                  ","kg ","","S",,"","","S","",92147,02-MAR-22,"netline","","","","","I","Y",""
"BHKX",01-JUN-15,28-JUN-17,"CX ","CX","7CF",1,"R",1,1,0,0,0,190,0,0,"STN","N","CX                            ","7CF                           ","J","-                                                                               ","kg ","","",,"","","S","",108662,02-MAR-22,"netline","","","","","I","Y",""
"CX7CF",01-JUN-15,01-OCT-22,"CX ","CX","7CF",0,"O",1,1,0,0,0,190,0,0,"STN","N","CX                            ","7CF                           ","J","-                                                                               ","kg ","","",,"","","","",108661,25-OCT-24,"iocltm","","","","","I","Y",""
"BHLH",14-JUL-15,31-DEC-15,"CX ","CX","33P",7,"R",122018,217000,0,0,0,55,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","24J/293Y = 317 (CQM LONG TERM PARKING FROM 23SEP20)                             ","kg ","","",,"","","S","",113592,02-MAR-22,"netline","","","","","I","Y",""
"BLAN",27-AUG-15,31-DEC-18,"CX ","CX","33E",4,"R",0,233000,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","39J/223Y = 262                                                                  ","kg ","","S",,"","","S","",123778,02-MAR-22,"netline","","","","","I","Y",""
"BHLP",07-SEP-15,31-DEC-18,"CX ","CX","33E",5,"R",0,233000,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","39J/223Y = 262 (ASP LONG TERM PARKING FROM 18SEP20)                             ","kg ","","S",,"","","S","",127881,02-MAR-22,"netline","","","","","I","Y",""
"BHLW",14-SEP-15,31-DEC-18,"CX ","CX","33E",6,"R",0,233000,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","39J/223Y = 262                                                                  ","kg ","","S",,"","","S","",127882,02-MAR-22,"netline","","","","","I","Y",""
"BHLO",22-SEP-15,31-DEC-15,"CX ","CX","33P",1,"R",122018,217000,0,0,0,55,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","24J/293Y = 317                                                                  ","kg ","","",,"","","S","",127922,02-MAR-22,"netline","","","","","I","Y",""
"BHLM",14-SEP-15,31-DEC-15,"CX ","CX","33P",3,"R",122018,217000,0,0,0,55,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","24J/293Y = 317                                                                  ","kg ","","",,"","","S","",127923,02-MAR-22,"netline","","","","","I","Y",""
"BHLN",28-SEP-15,31-DEC-15,"CX ","CX","33P",2,"R",122018,217000,0,0,0,55,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","24J/293Y = 317                                                                  ","kg ","","",,"","","S","",127924,02-MAR-22,"netline","","","","","I","Y",""
"BLAJ",01-JAN-14,31-DEC-14,"CX ","CX","33G",11,"R",124887,233000,0,0,0,80,0,0,"STN","N","CATHAY PACIFIC                ","33G                           ","J","39J/28W/175Y = 242                                                              ","kg ","","",,"","","S","",127925,02-MAR-22,"netline","","","","","I","Y",""
"BLAJ",21-SEP-15,31-DEC-18,"CX ","CX","33E",11,"R",0,233000,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","39J/223Y = 262 (ASP LONG TERM PARKING FROM 02NOV20)                             ","kg ","","S",,"","","S","",133033,02-MAR-22,"netline","","","","","I","Y",""
"BKQX",19-MAR-15,31-DEC-15,"CX ","CX","77G",17,"R",153362,351534,0,0,0,100,0,0,"STN","N","CATHAY PACIFIC                ","77G                           ","J","40J/32W/268Y = 340                                                              ","kg ","","",,"","","S","",88301,02-MAR-22,"netline","","","","","I","Y",""
"BKQZ",01-JUN-15,31-DEC-15,"CX ","CX","77G",19,"R",153362,351534,0,0,0,100,0,0,"STN","N","CATHAY PACIFIC                ","77G                           ","J","40J/32W/268Y = 340                                                              ","kg ","","",,"","","S","",90788,02-MAR-22,"netline","","","","","I","Y",""
"BLBK",19-MAR-15,26-NOV-15,"CX ","CX","330",17,"R",123178,233000,0,0,0,50,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","42J/265Y = 307                                                                  ","kg ","","",,"","","S","",88303,02-MAR-22,"netline","","","","","I","Y",""
"BKQY",16-APR-15,31-DEC-15,"CX ","CX","77G",18,"R",153362,351534,0,0,0,100,0,0,"STN","N","CATHAY PACIFIC                ","77G                           ","J","40J/32W/268Y = 340                                                              ","kg ","","",,"","","S","",91556,02-MAR-22,"netline","","","","","I","Y",""
"BHNR",01-AUG-15,31-DEC-15,"CX ","CX","77G",20,"R",153362,351534,0,0,0,100,0,0,"STN","N","CATHAY PACIFIC                ","77G                           ","J","40J/32W/268Y = 340                                                              ","kg ","","",,"","","S","",90789,02-MAR-22,"netline","","","","","I","Y",""
"CX35G",01-JAN-16,31-DEC-16,"CX ","CX","35G",0,"O",0,0,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","-                                                                               ","kg ","","",,"","","","",159193,02-MAR-22,"netline","","","","","I","Y",""
"BLAZ",28-SEP-15,31-DEC-18,"CX ","CX","33E",7,"R",0,233000,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","39J/223Y = 262                                                                  ","kg ","","S",,"","","S","",133034,02-MAR-22,"netline","","","","","I","Y",""
"BLBD",05-DEC-15,31-DEC-15,"KA ","KA","33C",13,"R",121527,205000,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","42J/265Y = 307 / TRAINING BAN DUE NO BRAKE FANS                                 ","kg ","","",,"","","S","",148068,02-MAR-22,"netline","","","","","I","Y",""
"BLBE",18-OCT-15,31-DEC-15,"CX ","CX","33P",6,"R",122018,217000,0,0,0,55,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","24J/293Y = 317                                                                  ","kg ","","",,"","","S","",140216,02-MAR-22,"netline","","","","","I","Y",""
"BLRA",01-JAN-16,31-DEC-16,"CX ","CX","35G",1,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",159194,02-MAR-22,"netline","","","","","I","Y",""
"CX77P",01-JAN-18,31-DEC-18,"CX ","CX","77P",0,"O",0,0,0,0,0,125,0,0,"STN","N","CX                            ","77P                           ","J","-                                                                               ","kg ","","",,"","","","",217137,02-MAR-22,"netline","","","","","I","Y",""
"BLBF",04-FEB-17,31-DEC-17,"KA ","KA","33H",2,"R",122018,205000,0,0,0,350,0,0,"STN","N","DRAGONAIR                     ","33H                           ","J","24J/293Y=317                                                                    ","kg ","","",,"","","S","",228509,02-MAR-22,"netline","","","","","I","Y",""
"CX779",01-JAN-21,31-DEC-35,"CX ","CX","779",0,"O",0,0,0,0,0,400,0,0,"STN","N","CX                            ","779                           ","J","-                                                                               ","kg ","","",,"","","","",217136,02-MAR-22,"netline","","","","","I","Y",""
"CX77K",01-JAN-18,31-DEC-35,"CX ","CX","77K",0,"O",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","-                                                                               ","kg ","","",,"","","","",217138,02-MAR-22,"netline","","","","","I","Y",""
"KA33H",24-DEC-16,31-DEC-17,"KA ","KA","33H",0,"O",0,0,0,0,0,350,0,0,"STN","N","KA                            ","33H                           ","J","-                                                                               ","kg ","","",,"","","","",228495,02-MAR-22,"netline","","","","","I","Y",""
"CX77A",01-JAN-07,31-DEC-17,"CX ","CX","77A",0,"O",0,0,0,0,0,95,0,0,"STN","N","CX                            ","77A                           ","J","CFG 6F/53J/34W/201Y = 294                                                       ","kg ","","",,"","","","",222160,02-MAR-22,"netline","","","","","I","Y",""
"BLBE",24-DEC-16,31-DEC-17,"KA ","KA","33H",1,"R",122018,205000,0,0,0,350,0,0,"STN","N","DRAGONAIR                     ","33H                           ","J","24J/293Y=317                                                                    ","kg ","","",,"","","S","",228497,02-MAR-22,"netline","","","","","I","Y",""
"BLBI",21-FEB-17,31-DEC-17,"KA ","KA","33H",3,"R",122018,205000,0,0,0,350,0,0,"STN","N","DRAGONAIR                     ","33H                           ","J","24J/293Y=317                                                                    ","kg ","","",,"","","S","",228510,02-MAR-22,"netline","","","","","I","Y",""
"BLBG",13-MAR-17,31-DEC-17,"KA ","KA","33H",4,"R",122018,205000,0,0,0,350,0,0,"STN","N","DRAGONAIR                     ","33H                           ","J","24J/293Y=317                                                                    ","kg ","","",,"","","S","",228511,02-MAR-22,"netline","","","","","I","Y",""
"BLBH",17-JUL-17,31-DEC-17,"KA ","KA","33H",5,"R",122018,205000,0,0,0,350,0,0,"STN","N","DRAGONAIR                     ","33H                           ","J","24J/293Y=317                                                                    ","kg ","","",,"","","S","",228512,02-MAR-22,"netline","","","","","I","Y",""
"BHSU",05-MAR-17,19-MAR-21,"KA ","KA","320",14,"R",44088,75500,0,0,0,300,0,0,"STN","N","KA                            ","320                           ","J","-                                                                               ","kg ","","",,"","","V","",291227,02-MAR-22,"netline","","","","","I","Y",""
"BHST",02-APR-17,17-FEB-21,"KA ","KA","320",15,"R",44088,75500,0,0,0,300,0,0,"STN","N","KA                            ","320                           ","J","-                                                                               ","kg ","","",,"","","V","",297439,02-MAR-22,"netline","","","","","I","Y",""
"5Y5Y8",01-JUN-17,01-OCT-22,"5Y ","5Y","5Y8",0,"O",0,0,0,0,0,240,0,0,"STN","N","5Y                            ","5Y8                           ","J","-                                                                               ","kg ","","",,"","","","",299079,25-OCT-24,"iocltm","","","","","I","Y",""
"5Y5Y4",01-JUN-17,01-OCT-22,"5Y ","5Y","5Y4",0,"O",0,0,0,0,0,230,0,0,"STN","N","5Y                            ","5Y4                           ","J","-                                                                               ","kg ","","",,"","","","",299080,25-OCT-24,"iocltm","","","","","I","Y",""
"LD76Y",01-MAY-17,01-OCT-23,"LD ","LD","76Y",0,"O",0,0,0,0,0,300,0,0,"VVSTN","N","LD                            ","76Y                           ","J","-                                                                               ","kg ","","",,"","","","",307775,25-OCT-24,"iocltm","","","","","I","Y",""
"N856",01-JUN-17,31-DEC-35,"5Y ","5Y","5Y8",2,"R",0,0,0,0,0,240,0,0,"STN","N","5Y                            ","5Y8                           ","J","-                                                                               ","kg ","","",,"","","","",310635,02-MAR-22,"netline","","","","","I","Y",""
"BHOU",15-MAY-17,30-MAY-17,"CX ","CX","7CF",2,"R",1,1,0,0,0,190,0,0,"STN","N","CX                            ","7CF                           ","J","-                                                                               ","kg ","","",,"","","S","",309085,02-MAR-22,"netline","","","","","I","Y",""
"N647",01-MAY-17,24-MAR-18,"LD ","LD","76Y",2,"R",0,0,0,0,0,300,0,0,"VVSTN","N","LD                            ","76Y                           ","J","-                                                                               ","kg ","","",,"","","S","",309475,02-MAR-22,"netline","","","","","I","Y",""
"N854",01-JUN-17,31-DEC-35,"5Y ","5Y","5Y8",1,"R",0,0,0,0,0,240,0,0,"STN","N","5Y                            ","5Y8                           ","J","-                                                                               ","kg ","","",,"","","","",310633,02-MAR-22,"netline","","","","","I","Y",""
"BHKT",01-JAN-14,31-DEC-15,"CX ","CX","74K",9,"R",185397,396893,0,0,0,20,0,0,"STN","N","CATHAY PACIFIC                ","74K                           ","J","9F/46J/26W/278Y = 359                                                           ","kg ","","",,"","","S","",27195,02-MAR-22,"netline","","","","","I","Y",""
"BHKU",01-JAN-14,21-OCT-15,"CX ","CX","74K",5,"R",185397,396893,0,0,0,20,0,0,"STN","N","CATHAY PACIFIC                ","74K                           ","J","9F/46J/26W/278Y = 359                                                           ","kg ","","",,"","","S","",27196,02-MAR-22,"netline","","","","","I","Y",""
"BHLA",01-JAN-14,31-DEC-15,"KA ","KA","33C",4,"R",121962,205000,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","42J/265Y = 307  /  TRAINING BAN DUE NO BRAKE FANS                               ","kg ","","",,"","","S","",27197,02-MAR-22,"netline","","","","","I","Y",""
"BHLB",01-JAN-14,31-DEC-15,"KA ","KA","33C",6,"R",122043,205000,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","42J/265Y = 307  /  TRAINING BAN DUE NO BRAKE FANS                               ","kg ","","",,"","","S","",27198,02-MAR-22,"netline","","","","","I","Y",""
"BHLC",01-JAN-14,31-DEC-15,"KA ","KA","33C",7,"R",121448,205000,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","42J/265Y = 307  /  TRAINING BAN DUE NO BRAKE FANS                               ","kg ","","",,"","","S","",27199,02-MAR-22,"netline","","","","","I","Y",""
"BHLD",01-JAN-14,29-MAR-14,"CX ","CX","330",5,"R",121093,215000,0,0,0,50,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","42J/265Y = 307                                                                  ","kg ","","",,"","","S","",27200,02-MAR-22,"netline","","","","","I","Y",""
"BHLE",01-JAN-14,31-DEC-15,"KA ","KA","33C",12,"R",121527,205000,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","42J/265Y = 307 (CQM LONG TERM PARKING FROM 13OCT20)                             ","kg ","","",,"","","S","",27201,02-MAR-22,"netline","","","","","I","Y",""
"BHLF",01-JAN-14,29-MAR-14,"CX ","CX","330",6,"R",122083,217000,0,0,0,50,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","42J/265Y = 307                                                                  ","kg ","","",,"","","S","",27202,02-MAR-22,"netline","","","","","I","Y",""
"BHLG",01-JAN-14,31-DEC-15,"KA ","KA","33C",11,"R",121598,205000,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","42J/265Y = 307 (CQM LONG TERM PARKING FROM 13OCT20)                             ","kg ","","",,"","","S","",27203,02-MAR-22,"netline","","","","","I","Y",""
"BHLH",01-JAN-14,29-MAR-14,"CX ","CX","330",7,"R",122018,217000,0,0,0,50,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","42J/265Y = 307                                                                  ","kg ","","",,"","","S","",27204,02-MAR-22,"netline","","","","","I","Y",""
"BHLI",01-JAN-14,31-DEC-15,"KA ","KA","33C",5,"R",121896,205000,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","42J/265Y = 307 (CQM LONG TERM PARKING FROM 13OCT20)                             ","kg ","","",,"","","S","",27205,02-MAR-22,"netline","","","","","I","Y",""
"BHLJ",01-JAN-14,31-DEC-15,"KA ","KA","33C",9,"R",121799,205000,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","42J265Y = 307  /  TRAINING BAN DUE NO BRAKE FANS                                ","kg ","","",,"","","S","",27206,02-MAR-22,"netline","","","","","I","Y",""
"BHLK",01-JAN-14,31-DEC-15,"KA ","KA","33C",3,"R",122095,205000,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","42J/265Y = 307 (CQM LONG TERM PARKING FROM 14OCT20)                             ","kg ","","",,"","","S","",27207,02-MAR-22,"netline","","","","","I","Y",""
"BHLL",01-JAN-14,31-DEC-15,"KA ","KA","33C",10,"R",121433,205000,0,0,0,340,0,0,"STN","N","KA                            ","33C                           ","J","42J/265Y = 307  /  TRAINING BAN DUE NO BRAKE FANS                               ","kg ","","",,"","","S","",27208,02-MAR-22,"netline","","","","","I","Y",""
"BHLM",01-JAN-14,29-MAR-14,"CX ","CX","330",3,"R",123026,233000,0,0,0,50,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","42J/265Y = 307                                                                  ","kg ","","",,"","","S","",27209,02-MAR-22,"netline","","","","","I","Y",""
"BHLN",01-JAN-14,29-MAR-14,"CX ","CX","330",2,"R",123282,233000,0,0,0,50,0,0,"STN","N","CATHAY PACIFIC                ","330                           ","J","42J/265Y = 307                                                                  ","kg ","","",,"","","S","",27210,02-MAR-22,"netline","","","","","I","Y",""
