"REGISTRATION","VALID_SINCE","VALID_UNTIL","AC_OPERATOR","AC_OWNER","AC_SUBTYPE","AC_LOGICAL_NO","AC_STATE","DRY_OPERATING_WGT","MAX_TAKEOFF_WGT","CARGO_CAPACITY","FUEL_CAPACITY","AVG_FUEL_CONSUMP","AC_INDEX","CREWSIZE_COCKPIT","CREWSIZE_CABIN","STD_VERSION","AP_RESTRICTION","AC_OWNER_NAME","AC_SUBTYPE_NAME","AC_CATEGORY","REMARK","FUEL_MEASURE_UNIT","AC_CALLSIGN","RADIO","NOISE","PHONE","SPECIAL_EQUIPMENT","ACARS","ALT_REG","RECORD_ID","LAST_UPDATE","LAST_UPDATE_USER_ID","STD_VERSION_ALT_1","STD_VERSION_ALT_2","STD_VERSION_ALT_3","STD_VERSION_ALT_4","ILS_EQUIPMENT","AUTOLAND","HOMEBASE"
"N477",01-JUN-17,31-DEC-35,"5Y ","5Y","5Y4",11,"R",0,0,0,0,0,230,0,0,"STN","N","5Y                            ","5Y4                           ","J","-                                                                               ","kg ","","",,"","","","",310646,02-MAR-22,"netline","","","","","I","Y",""
"N496",01-JUN-17,31-DEC-35,"5Y ","5Y","5Y4",14,"R",0,0,0,0,0,230,0,0,"STN","N","5Y                            ","5Y4                           ","J","-                                                                               ","kg ","","",,"","","","",310650,02-MAR-22,"netline","","","","","I","Y",""
"CACAS",01-JAN-14,01-OCT-19,"CA ","CA","CAS",0,"O",0,0,0,0,0,0,2,3,"STN","N","CA                            ","CAS                           ","J","-                                                                               ","kg ","","",,"","","","",25415,25-OCT-24,"iocltm","","","","","I","Y",""
"N492",01-JUN-17,31-DEC-35,"5Y ","5Y","5Y4",12,"R",0,0,0,0,0,230,0,0,"STN","N","5Y                            ","5Y4                           ","J","-                                                                               ","kg ","","",,"","","","",310648,02-MAR-22,"netline","","","","","I","Y",""
"N493",01-JUN-17,31-DEC-35,"5Y ","5Y","5Y4",13,"R",0,0,0,0,0,230,0,0,"STN","N","5Y                            ","5Y4                           ","J","-                                                                               ","kg ","","",,"","","","",310649,02-MAR-22,"netline","","","","","I","Y",""
"N497",01-JUN-17,31-DEC-35,"5Y ","5Y","5Y4",15,"R",0,0,0,0,0,230,0,0,"STN","N","5Y                            ","5Y4                           ","J","-                                                                               ","kg ","","",,"","","","",310651,02-MAR-22,"netline","","","","","I","Y",""
"BHNE",01-JAN-14,31-DEC-15,"CX ","CX","773",8,"R",153359,263083,0,0,0,120,0,0,"STN","N","CATHAY PACIFIC                ","773                           ","J","42J/356Y = 398                                                                  ","kg ","","",,"","","S","",27224,02-MAR-22,"netline","","","","","I","Y",""
"LDABF",01-JAN-14,31-DEC-35,"LD ","LD","ABF",0,"O",0,0,0,0,0,280,0,0,"VVSTN","N","ACL                           ","ABF                           ","J","-                                                                               ","kg ","","",,"","","","",47461,02-MAR-22,"netline","","","","","I","Y",""
"LDLD7",01-JAN-14,01-OCT-22,"LD ","LD","LD7",0,"O",0,0,0,0,0,250,0,0,"VVSTN","N","LD                            ","LD7                           ","J","-                                                                               ","kg ","","",,"","","","",47462,25-OCT-24,"iocltm","","","","","I","Y",""
"BLAM",06-DEC-15,31-DEC-18,"CX ","CX","33E",10,"R",0,233000,0,0,0,60,0,0,"STN","N","CX                            ","33E                           ","J","39J/223Y = 262                                                                  ","kg ","","S",,"","","S","",149027,02-MAR-22,"netline","","","","","I","Y",""
